Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,2.48665,2.48665,2.3928700000000003,2.3928700000000003,0.768597,112963
1995-01-13,2.3702900000000002,2.3702900000000002,2.29901,2.3702900000000002,0.7613439999999999,172641
1995-01-16,2.32343,2.3928700000000003,2.32343,2.32343,0.746292,226458
1995-01-17,2.34593,2.3928700000000003,2.34593,2.3928700000000003,0.768597,76729
1995-01-18,2.3928700000000003,2.41721,2.3702900000000002,2.3702900000000002,0.7613439999999999,52219
1995-01-19,2.3928700000000003,2.41721,2.3928700000000003,2.3928700000000003,0.768597,104970
1995-01-20,2.41721,2.41721,2.3928700000000003,2.41721,0.776415,74598
1995-01-23,2.3928700000000003,2.3928700000000003,2.34593,2.3928700000000003,0.768597,141203
1995-01-24,2.3928700000000003,2.3928700000000003,2.3702900000000002,2.3702900000000002,0.7613439999999999,132145
1995-01-25,2.3702900000000002,2.3702900000000002,2.29901,2.34593,0.75352,57547
1995-01-26,2.34593,2.3928700000000003,2.32343,2.3928700000000003,0.768597,95379
1995-01-27,2.3928700000000003,2.3928700000000003,2.34593,2.3702900000000002,0.7613439999999999,131612
1995-01-30,2.34593,2.3702900000000002,2.34593,2.34593,0.75352,43693
1995-01-31,2.34593,2.3702900000000002,2.32343,2.34593,0.75352,93780
1995-02-01,2.34593,2.3702900000000002,2.32343,2.34593,0.75352,129481
1995-02-02,2.32343,2.32343,2.2764900000000003,2.2764900000000003,0.731215,140138
1995-02-03,2.2764900000000003,2.29901,2.2764900000000003,2.29901,0.738449,229655
1995-02-06,2.2764900000000003,2.29901,2.2295700000000003,2.2520700000000002,0.723371,364997
1995-02-07,2.2520700000000002,2.2520700000000002,2.20515,2.2295700000000003,0.716144,154524
1995-02-08,2.2295700000000003,2.2295700000000003,2.1113,2.15822,0.693227,248837
1995-02-09,2.15822,2.2295700000000003,2.15822,2.2295700000000003,0.716144,356472
1995-02-10,2.2295700000000003,2.2520700000000002,2.2295700000000003,2.2520700000000002,0.723371,94313
1995-02-13,2.2520700000000002,2.2520700000000002,2.20515,2.2520700000000002,0.723371,149196
1995-02-14,2.2295700000000003,2.2520700000000002,2.20515,2.2295700000000003,0.716144,205144
1995-02-15,2.2295700000000003,2.2295700000000003,2.13577,2.15822,0.693227,102839
1995-02-16,2.15822,2.18263,2.15822,2.15822,0.693227,55416
1995-02-17,2.15822,2.20515,2.15822,2.15822,0.693227,71934
1995-02-20,2.15822,2.20515,2.15822,2.20515,0.7083010000000001,29839
1995-02-21,2.18263,2.18263,2.13577,2.18263,0.701067,120422
1995-02-22,2.18263,2.20515,2.15822,2.20515,0.7083010000000001,118824
1995-02-23,2.20515,2.20515,2.18263,2.20515,0.7083010000000001,144933
1995-02-24,2.20515,2.20515,2.18263,2.20515,0.7083010000000001,68204
1995-02-27,2.2295700000000003,2.2295700000000003,2.18263,2.20515,0.7083010000000001,113495
1995-02-28,2.20515,2.20515,2.18263,2.20515,0.7083010000000001,99642
1995-03-01,2.18263,2.20515,2.1113,2.1113,0.6781560000000001,291465
1995-03-02,2.1113,2.15822,2.1113,2.1113,0.6781560000000001,97510
1995-03-03,2.13577,2.18263,2.1113,2.18263,0.701067,304786
1995-03-06,2.20515,2.20515,2.15822,2.15822,0.693227,163583
1995-03-07,2.15822,2.18263,2.15822,2.18263,0.701067,104970
1995-03-08,2.15822,2.18263,2.15822,2.18263,0.701067,212604
1995-03-09,2.18263,2.20515,2.15822,2.20515,0.7083010000000001,57014
1995-03-10,2.2295700000000003,2.2295700000000003,2.18263,2.20515,0.7083010000000001,94313
1995-03-13,2.20515,2.2520700000000002,2.20515,2.2295700000000003,0.716144,59678
1995-03-14,2.2295700000000003,2.2295700000000003,2.20515,2.2295700000000003,0.716144,93247
1995-03-15,2.20515,2.29901,2.20515,2.29901,0.738449,164115
1995-03-16,2.2764900000000003,2.2764900000000003,2.2295700000000003,2.2520700000000002,0.723371,544565
1995-03-17,2.2520700000000002,2.2520700000000002,2.2295700000000003,2.2520700000000002,0.723371,205144
1995-03-20,2.2520700000000002,2.2520700000000002,2.2295700000000003,2.2295700000000003,0.716144,127349
1995-03-21,2.2520700000000002,2.29901,2.2295700000000003,2.2764900000000003,0.731215,117758
1995-03-22,2.2764900000000003,2.29901,2.2520700000000002,2.29901,0.738449,110831
1995-03-23,2.2764900000000003,2.32343,2.2764900000000003,2.2764900000000003,0.731215,70868
1995-03-24,2.29901,2.3702900000000002,2.29901,2.3702900000000002,0.7613439999999999,75131
1995-03-27,2.3702900000000002,2.3702900000000002,2.2295700000000003,2.2295700000000003,0.716144,194487
1995-03-28,2.2295700000000003,2.2520700000000002,2.20515,2.2520700000000002,0.723371,71934
1995-03-29,2.2764900000000003,2.2764900000000003,2.2520700000000002,2.2520700000000002,0.723371,67138
1995-03-30,2.2520700000000002,2.34593,2.2520700000000002,2.29901,0.738449,158787
1995-03-31,2.29901,2.3928700000000003,2.29901,2.3702900000000002,0.7613439999999999,50087
1995-04-03,2.3702900000000002,2.3702900000000002,2.32343,2.3702900000000002,0.7613439999999999,46357
1995-04-04,2.32343,2.34593,2.32343,2.34593,0.75352,17051
1995-04-05,2.34593,2.34593,2.29901,2.32343,0.746292,48489
1995-04-06,2.32343,2.34593,2.32343,2.32343,0.746292,35700
1995-04-07,2.32343,2.34593,2.32343,2.34593,0.75352,46890
1995-04-10,2.34593,2.34593,2.32343,2.32343,0.746292,52751
1995-04-11,2.32343,2.3702900000000002,2.29901,2.34593,0.75352,686301
1995-04-12,2.32343,2.32343,2.2764900000000003,2.29901,0.738449,19182
1995-04-13,2.32343,2.34593,2.29901,2.32343,0.746292,53817
1995-04-17,2.34593,2.3702900000000002,2.32343,2.34593,0.75352,113495
1995-04-18,2.32343,2.34593,2.29901,2.32343,0.746292,189692
1995-04-19,2.32343,2.32343,2.2764900000000003,2.29901,0.738449,51153
1995-04-20,2.29901,2.29901,2.2520700000000002,2.2764900000000003,0.731215,25576
1995-04-21,2.2764900000000003,2.29901,2.2764900000000003,2.2764900000000003,0.731215,63408
1995-04-24,2.29901,2.29901,2.2295700000000003,2.2520700000000002,0.723371,258961
1995-04-25,2.2295700000000003,2.2764900000000003,2.2295700000000003,2.2764900000000003,0.731215,34102
1995-04-26,2.2764900000000003,2.2764900000000003,2.2520700000000002,2.2520700000000002,0.723371,101240
1995-04-27,2.2520700000000002,2.32343,2.2520700000000002,2.29901,0.738449,569609
1995-04-28,2.32343,2.34593,2.29901,2.34593,0.75352,90050
1995-05-01,2.34593,2.3702900000000002,2.32343,2.3702900000000002,0.7613439999999999,151860
1995-05-02,2.3702900000000002,2.3928700000000003,2.34593,2.3702900000000002,0.7613439999999999,168378
1995-05-03,2.3928700000000003,2.3928700000000003,2.3702900000000002,2.3928700000000003,0.768597,112963
1995-05-04,2.3928700000000003,2.43978,2.3702900000000002,2.41721,0.776415,253633
1995-05-05,2.43978,2.48665,2.43978,2.46414,0.791489,285071
1995-05-08,2.46414,2.5805,2.43978,2.558,0.8216370000000001,321304
1995-05-09,2.5805,2.5805,2.5335799999999997,2.558,0.8216370000000001,179568
1995-05-10,2.558,2.62738,2.5335799999999997,2.62738,0.843922,268553
